Country,,,PDI,UAI,IDV,MAS
Venezuela,,,74.13624511,65.69060773,5.603681646,63.34003446
Mexico,,,74.13624511,71.40883978,22.41472658,59.37679495
Bangladesh,,,73.01173403,50.44198895,13.07525717,45.84108424
Arab Countries,,,73.01173403,58.06629834,29.88630211,44.00744087
Ecuador,,,70.76271186,57.11325967,1.867893882,53.43193567
Columbia,,,58.39308996,50.44198895,6.537628587,54.42274555
Jamaica,,,35.02538071,4.85095613,30.82024905,58.38598507
Japan,,,44.29680502,80.93922652,37.35787764,85.13785181
Italy,,,40.17617199,64.73756906,76.1630585,60.36760482
Hungary,,,36.05553897,71.40883978,82.51957623,78.20218265
Austria,,,0,59.97237569,45.76340011,69.28489374
South Africa,,,39.14601374,39.77784027,58.68263473,53.43193567
United States,,,29.87458943,36.86726659,100,52.44112579
US,,,29.87458943,36.86726659,100,52.44112579
United States of America,,,29.87458943,36.86726659,100,52.44112579
USA,,,29.87458943,36.86726659,100,52.44112579
Canada,,,28.84443117,38.80764904,82.51957623,43.09061919
Australia,,,25.7539564,41.71822272,98.41087057,51.45031591
Great Britain,,,24.72379815,26.1951631,96.82174113,56.40436531
Germany,,,24.72379815,55.20718232,61.8608936,56.40436531
Switzerland,,,23.69363989,48.5095613,63.45002303,60.36760482
Ireland,,,17.51269036,26.1951631,66.6282819,58.38598507
New Zealand,,,11.33174082,39.77784027,80.9304468,48.5915493
Malaysia,,,100,27.16535433,18.67893882,41.25697582
Philippines,,,88.75488918,34.92688414,24.28262047,54.42274555
China,,,73.01173403,21.34420697,13.07525717,56.40436531
India,,,69.63820078,31.04611924,39.22577152,46.75790593
Bulgaria,,,61.76662321,74.2679558,22.41472658,32.08875897
Netherlands,,,27.81427292,43.65860517,82.51957623,8.251395163
Norway,,,20.60316512,40.7480315,65.03915246,2.750465054
Sweden,,,20.60316512,20.37401575,68.21741133,0
Denmark,,,7.211107793,14.55286839,72.98479963,10.08503853
Singapore,,,66.26466754,0,13.07525717,39.42333245
Vietnam,,,61.76662321,21.34420697,13.07525717,32.08875897
Hong Kong,,,59.51760104,20.37401575,17.74499188,47.67472761
Panama,,,89.87940026,75.22099448,4.669734705,35.75604571
Guatemala,,,89.87940026,89.51657459,0,29.33829391
Russia,,,87.6303781,83.79834254,30.82024905,28.42147223
Romania,,,84.25684485,79.03314917,22.41472658,33.92240234
Surinam,,,78.63428944,80.93922652,38.29182458,29.33829391
Yugoslavia,,,68.5136897,77.12707182,19.61288576,14.66914696
Turkey,,,57.26857888,74.2679558,28.95235517,36.67286739
Salvador,,,57.26857888,82.84530387,12.14131023,32.08875897
Peru,,,55.01955671,76.17403315,9.33946941,33.92240234
Portugal,,,53.89504563,92.37569061,19.61288576,23.83736381
Chile,,,53.89504563,75.22099448,15.877098,21.08689875
Uruguay,,,51.64602347,88.56353591,28.01840823,30.2551156
South Korea,,,50.52151239,74.2679558,11.20736329,31.17193728
Luxembourg,,,29.87458943,59.97237569,50.73698756,41.25697582
Estonia,,,29.87458943,50.44198895,50.73698756,22.92054212
Costa Rica,,,24.72379815,75.22099448,8.405522469,14.66914696
Finland,,,22.66348164,49.47975253,55.50437586,19.25325538
Israel,,,2.060316512,70.4558011,44.82945317,38.50651076
Poland,,,59.51760104,81.89226519,50.73698756,54.42274555
France,,,59.51760104,75.22099448,68.21741133,34.83922402
Belgium,,,56.1440678,82.84530387,74.57392906,44.92426256
Greece,,,50.52151239,100,27.08446129,47.67472761
Czechia,,,47.38727979,63.78453039,48.56524093,47.67472761
Spain,,,47.38727979,75.22099448,42.02761234,33.92240234
Malta,,,46.35712153,84.75138122,49.49918787,38.50651076
Argentina,,,39.14601374,75.22099448,37.35787764,46.75790593
Slovakia,,,100,41.71822272,42.96155929,100
Indonesia,,,70.76271186,38.80764904,7.471575528,37.58968908
West Africa,,,69.63820078,44.6287964,13.07525717,37.58968908
Morocco,,,61.76662321,58.06629834,37.35787764,44.00744087
Brazil,,,60.64211213,65.69060773,29.88630211,40.34015413
East Africa,,,55.01955671,42.68841395,19.61288576,33.00558065
Thailand,,,55.01955671,54.25414365,13.07525717,26.58782886
Taiwan,,,48.41743804,59.01933702,10.27341635,36.67286739
Iran,,,48.41743804,49.47975253,32.68814293,34.83922402
Pakistan,,,45.32696327,59.97237569,7.471575528,41.25697582
Trinidad,,,37.08569722,45.59898763,9.33946941,48.5915493
